Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

06:51:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:52:12 PM  all   90.53    0.00    8.04    0.00    0.00    0.05    0.00    0.00    0.00    1.38
06:52:42 PM  all   92.69    0.00    6.22    0.00    0.00    0.02    0.00    0.00    0.00    1.07
06:53:12 PM  all   92.91    0.00    6.15    0.00    0.00    0.01    0.00    0.00    0.00    0.93
06:53:42 PM  all   93.33    0.00    5.76    0.00    0.00    0.02    0.00    0.00    0.00    0.89
06:54:12 PM  all   14.22    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   84.45
06:54:42 PM  all    0.08    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.81
06:55:12 PM  all    1.41    0.00    0.30    0.00    0.00    0.00    0.00    0.00    0.00   98.27
06:55:42 PM  all    0.10    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.69
06:56:12 PM  all    0.07    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.75
06:56:42 PM  all   90.93    0.00    6.23    0.00    0.00    0.03    0.00    0.00    0.00    2.81
06:57:12 PM  all   93.07    0.00    6.23    0.00    0.00    0.01    0.00    0.00    0.00    0.69
06:57:42 PM  all   92.50    0.00    6.54    0.00    0.00    0.01    0.00    0.00    0.00    0.95
06:58:12 PM  all   93.17    0.00    5.98    0.00    0.00    0.01    0.00    0.00    0.00    0.84
06:58:42 PM  all   12.89    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   86.09
06:59:12 PM  all    0.06    0.00    0.13    0.00    0.00    0.01    0.00    0.00    0.00   99.81
06:59:42 PM  all    1.39    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   98.39
07:00:12 PM  all    0.10    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.72
07:00:42 PM  all    0.11    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.77
07:01:12 PM  all   92.90    0.00    6.36    0.00    0.00    0.02    0.00    0.00    0.00    0.72
07:01:42 PM  all   92.93    0.00    6.33    0.00    0.00    0.01    0.00    0.00    0.00    0.73
07:02:12 PM  all   93.09    0.00    6.17    0.00    0.00    0.03    0.00    0.00    0.00    0.71
07:02:42 PM  all   93.15    0.00    6.19    0.00    0.00    0.01    0.00    0.00    0.00    0.64
07:03:12 PM  all   10.37    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   88.37
07:03:42 PM  all    0.10    0.00    0.19    0.00    0.00    0.01    0.00    0.00    0.00   99.70
07:04:12 PM  all    1.30    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.49
07:04:42 PM  all    0.10    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.77
07:05:12 PM  all    2.37    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   97.25
07:05:42 PM  all   89.64    0.00    9.29    0.00    0.00    0.03    0.00    0.00    0.00    1.04
07:06:12 PM  all   91.22    0.00    7.92    0.00    0.00    0.03    0.00    0.00    0.00    0.84
07:06:42 PM  all   93.27    0.00    6.03    0.00    0.00    0.03    0.00    0.00    0.00    0.68
Average:     all   47.60    0.00    3.51    0.00    0.00    0.01    0.00    0.00    0.00   48.88
