Linux 5.15.0-73-generic (ubuntu2004) 	06/15/2023 	_x86_64_	(8 CPU)

06:59:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:37:38 AM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:38:07 AM  all    0.09    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.79
03:38:08 AM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:38:37 AM  all    0.43    0.00    0.41    0.00    0.00    0.01    0.00    0.00    0.00   99.15
03:38:38 AM  all    0.50    0.00    0.53    0.00    0.00    0.02    0.00    0.00    0.00   98.95
03:39:07 AM  all    1.66    0.00    4.21    0.03    0.00    0.16    0.00    0.00    0.00   93.94
03:39:08 AM  all    1.59    0.00    4.13    0.03    0.00    0.16    0.00    0.00    0.00   94.09
03:39:37 AM  all    0.18    0.00    0.45    0.00    0.00    0.01    0.00    0.00    0.00   99.36
03:39:38 AM  all    0.19    0.00    0.47    0.00    0.00    0.02    0.00    0.00    0.00   99.32
03:40:07 AM  all    0.41    0.00    0.48    0.00    0.00    0.02    0.00    0.00    0.00   99.09
03:40:08 AM  all    0.40    0.00    0.42    0.00    0.00    0.02    0.00    0.00    0.00   99.16
03:40:37 AM  all    0.21    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   99.35
03:40:38 AM  all    0.20    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   99.35
03:41:07 AM  all    0.28    0.00    0.61    0.00    0.00    0.02    0.00    0.00    0.00   99.10
03:41:08 AM  all    0.28    0.00    0.61    0.00    0.00    0.01    0.00    0.00    0.00   99.10
03:41:37 AM  all    0.48    0.00    0.62    0.02    0.00    0.02    0.00    0.00    0.00   98.86
03:41:38 AM  all    0.50    0.00    0.64    0.02    0.00    0.02    0.00    0.00    0.00   98.83
03:42:07 AM  all    0.35    0.00    0.52    0.00    0.00    0.02    0.00    0.00    0.00   99.11
Average:     all   15.21    0.00    3.73    0.24    0.00    0.17    0.00    0.00    0.00   80.65
03:42:08 AM  all    0.35    0.00    0.55    0.00    0.00    0.02    0.00    0.00    0.00   99.09
03:42:38 AM  all    6.07    0.00    3.18    0.00    0.00    0.11    0.00    0.00    0.00   90.63
03:43:08 AM  all    2.94    0.00    2.28    0.00    0.00    0.07    0.00    0.00    0.00   94.71
03:43:38 AM  all    3.72    0.00    2.40    0.00    0.00    0.08    0.00    0.00    0.00   93.80
03:44:08 AM  all    3.19    0.00    1.71    0.00    0.00    0.10    0.00    0.00    0.00   94.99
03:44:38 AM  all    3.12    0.00    1.96    0.00    0.00    0.08    0.00    0.00    0.00   94.83
03:45:08 AM  all    0.70    0.00    1.03    0.11    0.00    0.07    0.00    0.00    0.00   98.10
03:45:38 AM  all    0.13    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.68
03:46:08 AM  all    1.71    0.00    3.57    0.02    0.00    0.05    0.00    0.00    0.00   94.65
03:46:38 AM  all    3.18    0.00    2.56    0.00    0.00    0.13    0.00    0.00    0.00   94.14
03:47:08 AM  all    2.27    0.00    1.54    0.00    0.00    0.04    0.00    0.00    0.00   96.14
03:47:38 AM  all    5.32    0.00    2.47    0.04    0.00    0.08    0.00    0.00    0.00   92.09
03:48:08 AM  all    3.99    0.00    2.56    0.00    0.00    0.06    0.00    0.00    0.00   93.38
03:48:38 AM  all    0.59    0.00    1.04    0.06    0.00    0.03    0.00    0.00    0.00   98.28
03:49:08 AM  all    6.86    0.00   52.02    0.12    0.00    0.26    0.00    0.00    0.00   40.73
03:49:38 AM  all   47.56    0.00   50.00    0.05    0.00    0.21    0.00    0.00    0.00    2.18
Linux 5.15.0-73-generic (ubuntu2004) 	06/16/2023 	_x86_64_	(8 CPU)
03:50:08 AM  all   73.93    0.00   24.48    0.08    0.00    0.90    0.00    0.00    0.00    0.61
