Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:03:35 PM  all    0.08    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.80
02:04:05 PM  all    0.07    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.80
02:04:35 PM  all    0.11    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.74
Average:     all   12.89    0.00    1.21    0.00    0.00    0.01    0.00    0.00    0.00   85.88
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

02:35:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:36:02 PM  all   89.15    0.00    9.05    0.06    0.00    0.07    0.00    0.00    0.00    1.67
02:36:32 PM  all   92.19    0.00    6.56    0.01    0.00    0.02    0.00    0.00    0.00    1.23
02:37:02 PM  all   93.18    0.00    5.75    0.00    0.00    0.01    0.00    0.00    0.00    1.05
02:37:32 PM  all   93.05    0.00    5.92    0.00    0.00    0.03    0.00    0.00    0.00    1.00
02:38:02 PM  all   14.94    0.00    1.38    0.00    0.00    0.01    0.00    0.00    0.00   83.67
02:38:32 PM  all    1.70    0.00    2.37    0.02    0.00    0.02    0.00    0.00    0.00   95.89
02:39:02 PM  all   53.94    0.00    3.64    0.00    0.00    0.00    0.00    0.00    0.00   42.42
02:39:32 PM  all   93.46    0.00    5.86    0.00    0.00    0.01    0.00    0.00    0.00    0.67
02:40:02 PM  all   93.35    0.00    6.01    0.00    0.00    0.01    0.00    0.00    0.00    0.63
02:40:32 PM  all   93.18    0.00    6.18    0.00    0.00    0.01    0.00    0.00    0.00    0.63
02:41:02 PM  all   48.04    0.00    3.72    0.00    0.00    0.01    0.00    0.00    0.00   48.23
02:41:32 PM  all    1.06    0.00    0.30    0.00    0.00    0.01    0.00    0.00    0.00   98.63
02:42:02 PM  all   22.13    0.00    1.68    0.01    0.00    0.01    0.00    0.00    0.00   76.16
02:42:32 PM  all   92.77    0.00    6.32    0.00    0.00    0.02    0.00    0.00    0.00    0.89
02:43:02 PM  all   92.95    0.00    6.09    0.00    0.00    0.01    0.00    0.00    0.00    0.95
02:43:32 PM  all   93.26    0.00    5.95    0.00    0.00    0.00    0.00    0.00    0.00    0.79
02:44:02 PM  all   79.72    0.00    5.28    0.05    0.00    0.05    0.00    0.00    0.00   14.90
02:44:32 PM  all    0.12    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.68
02:45:02 PM  all    1.75    0.00    0.38    0.00    0.00    0.01    0.00    0.00    0.00   97.86
02:45:32 PM  all   82.94    0.00    5.44    0.00    0.00    0.01    0.00    0.00    0.00   11.61
02:46:02 PM  all   88.98    0.00    9.94    0.00    0.00    0.05    0.00    0.00    0.00    1.03
02:46:32 PM  all   87.23    0.00   10.16    0.00    0.00    0.11    0.00    0.00    0.00    2.51
02:47:02 PM  all   50.93    0.00    4.06    0.01    0.00    0.08    0.00    0.00    0.00   44.91
02:47:32 PM  all    0.91    0.00    0.79    0.01    0.00    0.03    0.00    0.00    0.00   98.26
02:48:02 PM  all    2.85    0.00    1.56    0.00    0.00    0.01    0.00    0.00    0.00   95.58
02:48:32 PM  all    3.06    0.00    2.12    0.00    0.00    0.02    0.00    0.00    0.00   94.80
02:49:02 PM  all    2.50    0.00    2.92    0.10    0.00    0.11    0.00    0.00    0.00   94.36
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)
02:49:32 PM  all   84.32    0.00    9.35    0.05    0.00    0.13    0.00    0.00    0.00    6.15

02:49:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:49:38 PM  all   92.72    0.00    6.57    0.00    0.00    0.04    0.00    0.00    0.00    0.68
02:50:02 PM  all   93.35    0.00    6.05    0.00    0.00    0.02    0.00    0.00    0.00    0.59
02:50:08 PM  all   93.27    0.00    6.10    0.00    0.00    0.02    0.00    0.00    0.00    0.61
02:50:32 PM  all   92.96    0.00    6.29    0.00    0.00    0.04    0.00    0.00    0.00    0.71
Average:     all   57.98    0.00    4.71    0.01    0.00    0.03    0.00    0.00    0.00   37.27
02:50:38 PM  all   93.01    0.00    6.29    0.00    0.00    0.03    0.00    0.00    0.00    0.67
02:51:08 PM  all   92.52    0.00    6.62    0.00    0.00    0.03    0.00    0.00    0.00    0.83
02:51:38 PM  all   12.96    0.00    1.32    0.00    0.00    0.03    0.00    0.00    0.00   85.70
