Linux 5.15.0-73-generic (ubuntu2004) 	06/11/2023 	_x86_64_	(8 CPU)

10:15:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:16:03 PM  all   86.77    0.00    9.75    0.00    0.00    0.12    0.00    0.00    0.00    3.36
10:16:33 PM  all   89.39    0.00    7.78    0.00    0.00    0.05    0.00    0.00    0.00    2.78
10:17:03 PM  all   89.60    0.00    7.47    0.00    0.00    0.04    0.00    0.00    0.00    2.89
10:17:33 PM  all   91.69    0.00    6.11    0.00    0.00    0.03    0.00    0.00    0.00    2.17
10:18:03 PM  all   88.06    0.00    8.18    0.00    0.00    0.05    0.00    0.00    0.00    3.71
10:18:33 PM  all   87.95    0.00    9.42    0.00    0.00    0.04    0.00    0.00    0.00    2.59
10:19:03 PM  all   89.01    0.00    8.91    0.00    0.00    0.03    0.00    0.00    0.00    2.05
10:19:33 PM  all   89.67    0.00    7.77    0.00    0.00    0.08    0.00    0.00    0.00    2.48
10:20:03 PM  all   89.36    0.00    7.35    0.00    0.00    0.04    0.00    0.00    0.00    3.25
10:20:33 PM  all   90.07    0.00    7.05    0.00    0.00    0.03    0.00    0.00    0.00    2.86
10:21:03 PM  all   89.01    0.00    8.02    0.00    0.00    0.05    0.00    0.00    0.00    2.91
10:21:33 PM  all   88.16    0.00    8.58    0.00    0.00    0.04    0.00    0.00    0.00    3.22
10:22:03 PM  all   87.41    0.00    8.68    0.00    0.00    0.05    0.00    0.00    0.00    3.86
10:22:33 PM  all   87.33    0.00    9.16    0.00    0.00    0.06    0.00    0.00    0.00    3.46
10:23:03 PM  all   87.06    0.00    9.81    0.00    0.00    0.05    0.00    0.00    0.00    3.08
10:23:33 PM  all   87.25    0.00   10.02    0.00    0.00    0.05    0.00    0.00    0.00    2.68
10:24:03 PM  all   90.79    0.00    6.11    0.00    0.00    0.03    0.00    0.00    0.00    3.07
10:24:33 PM  all   88.67    0.00    8.77    0.00    0.00    0.04    0.00    0.00    0.00    2.51
10:25:03 PM  all   86.24    0.00   10.30    0.00    0.00    0.06    0.00    0.00    0.00    3.39
10:25:33 PM  all   88.50    0.00    9.01    0.00    0.00    0.03    0.00    0.00    0.00    2.46
10:26:03 PM  all   90.62    0.00    6.47    0.00    0.00    0.04    0.00    0.00    0.00    2.87
10:26:33 PM  all   21.30    0.00    3.54    0.02    0.00    0.08    0.00    0.00    0.00   75.06
10:27:03 PM  all    0.14    0.00    0.28    0.04    0.00    0.02    0.00    0.00    0.00   99.53
Average:     all   81.86    0.00    7.76    0.00    0.00    0.05    0.00    0.00    0.00   10.33
