Linux 5.15.0-73-generic (ubuntu2004) 	06/11/2023 	_x86_64_	(8 CPU)

10:53:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:54:00 PM  all   89.88    0.00    8.09    0.00    0.00    0.04    0.00    0.00    0.00    1.98
10:54:30 PM  all   90.76    0.00    7.16    0.00    0.00    0.05    0.00    0.00    0.00    2.04
10:55:00 PM  all   91.18    0.00    6.68    0.00    0.00    0.04    0.00    0.00    0.00    2.11
10:55:30 PM  all   91.51    0.00    6.47    0.00    0.00    0.04    0.00    0.00    0.00    1.98
10:56:00 PM  all   90.31    0.00    6.98    0.00    0.00    0.05    0.00    0.00    0.00    2.66
10:56:30 PM  all   90.90    0.00    6.98    0.00    0.00    0.03    0.00    0.00    0.00    2.09
10:57:00 PM  all   91.22    0.00    6.83    0.00    0.00    0.04    0.00    0.00    0.00    1.91
10:57:30 PM  all   89.66    0.00    7.96    0.00    0.00    0.02    0.00    0.00    0.00    2.36
10:58:00 PM  all   89.21    0.00    7.90    0.00    0.00    0.05    0.00    0.00    0.00    2.83
10:58:30 PM  all   91.66    0.00    6.39    0.00    0.00    0.04    0.00    0.00    0.00    1.92
10:59:00 PM  all   91.87    0.00    6.26    0.00    0.00    0.03    0.00    0.00    0.00    1.83
10:59:30 PM  all   90.03    0.00    7.69    0.00    0.00    0.03    0.00    0.00    0.00    2.24
11:00:00 PM  all   90.83    0.00    6.74    0.00    0.00    0.02    0.00    0.00    0.00    2.41
11:00:30 PM  all   91.57    0.00    6.55    0.00    0.00    0.02    0.00    0.00    0.00    1.86
11:01:00 PM  all   91.74    0.00    6.30    0.00    0.00    0.03    0.00    0.00    0.00    1.93
11:01:30 PM  all   91.09    0.00    6.87    0.00    0.00    0.03    0.00    0.00    0.00    2.01
11:02:00 PM  all   90.69    0.00    6.93    0.00    0.00    0.02    0.00    0.00    0.00    2.36
11:02:30 PM  all   90.33    0.00    7.34    0.00    0.00    0.03    0.00    0.00    0.00    2.29
11:03:00 PM  all   90.81    0.00    6.96    0.00    0.00    0.03    0.00    0.00    0.00    2.20
11:03:30 PM  all   88.09    0.00    7.14    0.00    0.00    0.03    0.00    0.00    0.00    4.74
11:04:00 PM  all   21.69    0.00    4.60    0.01    0.00    0.09    0.00    0.00    0.00   73.60
11:04:30 PM  all    0.09    0.00    0.13    0.01    0.00    0.00    0.00    0.00    0.00   99.77
11:05:00 PM  all    0.11    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.75
11:05:30 PM  all    0.12    0.00    0.18    0.00    0.00    0.01    0.00    0.00    0.00   99.69
11:06:00 PM  all    0.13    0.00    0.14    0.07    0.00    0.00    0.00    0.00    0.00   99.65
11:06:30 PM  all    0.08    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.77
11:07:00 PM  all    0.57    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.26
11:07:30 PM  all    0.10    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.73
11:08:00 PM  all    0.09    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.77
11:08:30 PM  all    0.13    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:09:00 PM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.76
11:09:30 PM  all    0.08    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.81
11:10:00 PM  all    0.09    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.72
11:10:30 PM  all    0.33    0.00    0.42    0.00    0.00    0.01    0.00    0.00    0.00   99.23
11:11:00 PM  all    0.08    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.77
Average:     all   52.34    0.00    4.20    0.00    0.00    0.02    0.00    0.00    0.00   43.44
