Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

07:19:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:19:38 PM  all   91.83    0.00    7.41    0.00    0.00    0.02    0.00    0.00    0.00    0.74
07:20:08 PM  all   92.90    0.00    6.35    0.00    0.00    0.03    0.00    0.00    0.00    0.73
07:20:38 PM  all   93.12    0.00    6.00    0.00    0.00    0.03    0.00    0.00    0.00    0.86
07:21:08 PM  all   92.81    0.00    6.20    0.00    0.00    0.02    0.00    0.00    0.00    0.96
07:21:38 PM  all   12.07    0.00    1.29    0.00    0.00    0.02    0.00    0.00    0.00   86.62
07:22:08 PM  all    0.09    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.78
07:22:38 PM  all    1.29    0.00    0.23    0.00    0.00    0.01    0.00    0.00    0.00   98.47
07:23:08 PM  all    0.29    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.58
07:23:38 PM  all   59.65    0.00    4.27    0.00    0.00    0.02    0.00    0.00    0.00   36.06
07:24:08 PM  all   93.25    0.00    6.01    0.00    0.00    0.02    0.00    0.00    0.00    0.72
07:24:38 PM  all   93.07    0.00    6.25    0.00    0.00    0.03    0.00    0.00    0.00    0.66
07:25:08 PM  all   93.08    0.00    6.26    0.00    0.00    0.00    0.00    0.00    0.00    0.66
07:25:38 PM  all   43.21    0.00    3.22    0.00    0.00    0.02    0.00    0.00    0.00   53.55
07:26:08 PM  all    0.08    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.81
07:26:38 PM  all    1.96    0.00    0.34    0.00    0.00    0.01    0.00    0.00    0.00   97.70
07:27:08 PM  all    0.61    0.00    0.72    0.00    0.00    0.02    0.00    0.00    0.00   98.65
07:27:38 PM  all   29.28    0.00    2.24    0.01    0.00    0.02    0.00    0.00    0.00   68.45
07:28:08 PM  all   93.06    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00    0.62
07:28:38 PM  all   93.44    0.00    5.86    0.00    0.00    0.02    0.00    0.00    0.00    0.68
07:29:08 PM  all   93.36    0.00    5.98    0.00    0.00    0.00    0.00    0.00    0.00    0.66
07:29:38 PM  all   72.51    0.00    4.75    0.00    0.00    0.03    0.00    0.00    0.00   22.71
07:30:08 PM  all    0.09    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.75
07:30:38 PM  all    1.32    0.00    0.18    0.00    0.00    0.01    0.00    0.00    0.00   98.49
07:31:08 PM  all    0.15    0.00    0.20    0.01    0.00    0.00    0.00    0.00    0.00   99.64
07:31:38 PM  all    1.00    0.00    0.47    0.00    0.00    0.01    0.00    0.00    0.00   98.52
07:32:08 PM  all   93.24    0.00    6.02    0.00    0.00    0.02    0.00    0.00    0.00    0.72
07:32:38 PM  all   93.41    0.00    5.87    0.00    0.00    0.02    0.00    0.00    0.00    0.69
07:33:08 PM  all   93.19    0.00    6.12    0.00    0.00    0.01    0.00    0.00    0.00    0.68
07:33:38 PM  all   93.16    0.00    6.26    0.00    0.00    0.01    0.00    0.00    0.00    0.57
07:34:08 PM  all    8.15    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   91.19
Average:     all   51.13    0.00    3.53    0.00    0.00    0.01    0.00    0.00    0.00   45.32
